Value,Time
0,4497253
57,4499171
107,4501161
76,4503169
29,4505163
0,4507254
0,4509169
37,4511174
51,4513166
24,4515159
0,4517244
0,4519179
0,4521163
0,4523158
0,4525158
0,4527278
0,4529176
0,4531159
0,4533159
0,4535174
23,4537328
44,4539170
46,4541162
38,4543173
21,4545163
35,4547304
35,4549174
24,4551176
11,4553160
8,4555159
0,4557254
34,4559179
50,4561166
18,4563155
0,4565163
0,4567265
0,4569168
0,4571160
0,4573159
16,4575176
6,4577255
1,4579169
0,4581163
0,4583171
32,4585160
60,4587268
44,4589167
15,4591178
0,4593160
35,4595160
64,4597245
59,4599183
30,4601165
0,4603160
0,4605159
0,4607249
0,4609168
0,4611163
0,4613161
0,4615173
0,4617260
0,4619171
0,4621156
10,4623173
27,4625162
29,4627254
24,4629168
11,4631173
29,4633159
31,4635182
27,4637260
7,4639177
15,4641162
13,4643165
43,4645160
36,4647302
0,4649171
0,4651162
0,4653156
0,4655172
0,4657258
9,4659163
12,4661160
0,4663174
0,4665160
0,4667256
12,4669165
45,4671173
62,4673165
54,4675159
0,4677479
11,4679176
49,4681170
61,4683160
39,4685159
0,4687262
0,4689167
0,4691159
0,4693157
0,4695177
0,4697258
2,4699171
0,4701158
0,4703172
0,4705158
0,4707250
17,4709166
27,4711172
22,4713159
21,4715159
0,4717253
17,4719178
19,4721161
9,4723163
0,4725162
2,4727276
10,4729170
0,4731164
0,4733158
0,4735178
0,4737323
0,4739172
0,4741169
0,4743175
0,4745167
0,4747302
8,4749175
15,4751175
8,4753166
0,4755169
0,4757258
35,4759178
98,4761164
94,4763160
16,4765160
0,4767264
0,4769167
0,4771158
0,4773162
59,4775172
76,4777263
43,4779165
4,4781166
0,4783167
9,4785164
60,4787258
78,4789166
61,4791169
0,4793149
0,4795156
37,4797254
68,4799175
64,4801152
8,4803147
0,4805160
0,4807272
0,4809170
0,4811148
3,4813142
10,4815174
0,4817261
0,4819153
