distance (mm),t1,t2,t3
5.398,7.190633577,3.298924067,0.357479015
5.408,7.165966859,3.289014605,0.346356811
5.418,7.144294366,3.277893194,0.324682775
5.428,7.120697014,3.267128239,0.293312458
5.438,7.095246094,3.253582931,0.277841189
5.448,7.072147779,3.236401778,0.283544883
5.458,7.054895335,3.221216775,0.275559711
5.468,7.035504157,3.209881491,0.26942824
5.478,7.008342251,3.196264892,0.261514365
5.488,6.977972245,3.17723017,0.258234741
5.498,6.949455807,3.158837068,0.260587515
5.508,6.918087726,3.139089435,0.268216205
5.518,6.884723494,3.116062412,0.28582636
5.528,6.855066399,3.091039238,0.304577254
5.538,6.830257099,3.066871557,0.320904078
5.548,6.798889018,3.033649907,0.337159605
5.558,6.762815724,2.975975413,0.352630875
5.568,6.724461116,2.911029226,0.364537336
5.578,6.68824524,2.855778629,0.382860452
5.588,6.647538026,2.812005897,0.40154005
5.598,6.604478205,2.770799645,0.409881702
5.608,6.562772915,2.735510554,0.424212233
5.618,6.526058002,2.707421863,0.448952005
5.628,6.488844051,2.682897727,0.477470475
5.638,6.454410453,2.660797488,0.501639878
5.648,6.42161655,2.640835981,0.523456507
5.658,6.393527859,2.630712646,0.548695352
5.668,6.361874614,2.6270768,0.566448099
5.678,6.330292659,2.623939992,0.577071229
5.688,6.302774297,2.62051802,0.588336025
5.698,6.280032438,2.621729968,0.602310075
5.708,6.254153771,2.625294523,0.610152654
5.718,6.227205738,2.627219383,0.611435985
5.728,6.195481201,2.626934218,0.612077651
5.738,6.167891548,2.624724194,0.609368396
5.748,6.137307669,2.618022831,0.609225804
5.758,6.104086019,2.607756914,0.609083211
5.768,6.067941435,2.595280973,0.603593406
5.778,6.034006874,2.584943764,0.580136965
5.788,5.997719707,2.579383059,0.525381503
5.798,5.95679862,2.571398456,0.482603799
5.808,5.913239761,2.560348337,0.471481596
5.818,5.874314824,2.552363734,0.472622335
5.828,5.835532469,2.546446573,0.475402886
5.838,5.793470724,2.542668146,0.48538435
5.848,5.755116116,2.539460046,0.504277836
5.858,5.718615076,2.538176807,0.521175029
5.868,5.67783657,2.539317464,0.536646299
5.878,5.639410671,2.539103591,0.546699059
5.888,5.605832566,2.536750985,0.543419435
5.898,5.577173546,2.539103591,0.549764795
5.908,5.542383492,2.54494946,0.546556467
5.918,5.505525997,2.549226926,0.541565735
5.928,5.469310121,2.548228851,0.549622202
5.938,5.434733941,2.548585306,0.562598106
5.948,5.398446774,2.553290518,0.563524956
5.958,5.365296416,2.555429251,0.571866609
5.968,5.335496739,2.551365659,0.594039719
5.978,5.306695137,2.549226926,0.603308221
5.988,5.275327056,2.553789556,0.612790612
5.998,5.242889608,2.558779933,0.634963722
6.008,5.215228664,2.563770309,0.671182179
6.018,5.185072531,2.572396532,0.703978418
6.028,5.148143744,2.586726041,0.731783926
6.038,5.110644629,2.598203907,0.753671851
6.048,5.073715843,2.603051702,0.770497748
6.058,5.03700093,2.607044003,0.795594001
6.068,4.996864044,2.609040154,0.831883754
6.078,4.95551521,2.597348414,0.860473519
6.088,4.91644769,2.573822353,0.86902906
6.098,4.878663411,2.555714416,0.85020687
6.108,4.837243285,2.545733663,0.846071692
6.118,4.79126053,2.538105516,0.864893882
6.128,4.74306775,2.523490841,0.875730901
6.138,4.697797906,2.505525486,0.868173506
6.148,4.653597428,2.492978253,0.857764265
6.158,4.610323734,2.486419473,0.857265192
6.168,4.569046191,2.478933908,0.865963325
6.178,4.529907381,2.472802874,0.875873493
6.188,4.48556432,2.472589,0.86959943
6.198,4.43794187,2.473373202,0.83865689
